id,order_id,product_id,quantity,unit_price,unit_cost
ITEM-00052,ORD-202201-0022,P015,1,300,30
ITEM-00053,ORD-202201-0022,P004,2,1950,930
ITEM-00054,ORD-202201-0022,P003,1,1700,820
ITEM-00055,ORD-202201-0023,P004,2,1950,930
ITEM-00056,ORD-202201-0023,P001,3,1200,600
ITEM-00057,ORD-202201-0024,P011,3,1400,180
ITEM-00058,ORD-202201-0024,P014,2,250,25
ITEM-00059,ORD-202201-0024,P016,2,3000,1500
ITEM-00060,ORD-202201-0025,P017,1,4000,1900
ITEM-00061,ORD-202201-0025,P009,2,1100,140
ITEM-00062,ORD-202201-0025,P018,1,5000,2300
ITEM-00063,ORD-202201-0025,P010,2,1250,160
ITEM-00064,ORD-202201-0026,P007,3,800,100
ITEM-00065,ORD-202201-0027,P018,2,5000,2300
ITEM-00066,ORD-202201-0027,P005,1,2200,1040
ITEM-00067,ORD-202201-0027,P002,1,1450,710
ITEM-00068,ORD-202201-0028,P006,1,2450,1150
ITEM-00069,ORD-202201-0028,P012,2,150,15
ITEM-00070,ORD-202201-0029,P016,2,3000,1500
ITEM-00071,ORD-202201-0030,P014,2,250,25
ITEM-00072,ORD-202201-0030,P001,1,1200,600
ITEM-00073,ORD-202201-0031,P010,2,1250,160
ITEM-00074,ORD-202201-0032,P009,2,1100,140
ITEM-00075,ORD-202201-0033,P018,3,5000,2300
ITEM-00076,ORD-202201-0033,P003,2,1700,820
ITEM-00077,ORD-202201-0033,P010,3,1250,160
ITEM-00078,ORD-202201-0034,P001,1,1200,600
ITEM-00079,ORD-202201-0034,P017,3,4000,1900
ITEM-00080,ORD-202201-0035,P010,1,1250,160
ITEM-00081,ORD-202201-0035,P019,1,6000,2700
ITEM-00082,ORD-202201-0036,P009,2,1100,140
ITEM-00083,ORD-202201-0037,P006,1,2450,1150
ITEM-00084,ORD-202201-0038,P017,1,4000,1900
ITEM-00085,ORD-202201-0039,P004,1,1950,930
ITEM-00086,ORD-202201-0039,P008,3,950,120
ITEM-00087,ORD-202201-0039,P003,3,1700,820
ITEM-00088,ORD-202201-0039,P019,3,6000,2700
ITEM-00089,ORD-202201-0040,P010,1,1250,160
ITEM-00090,ORD-202201-0041,P012,1,150,15
ITEM-00091,ORD-202201-0041,P019,3,6000,2700
ITEM-00092,ORD-202201-0041,P015,1,300,30
ITEM-00093,ORD-202201-0041,P015,2,300,30
ITEM-00094,ORD-202201-0042,P009,3,1100,140
ITEM-00095,ORD-202201-0043,P010,1,1250,160
ITEM-00096,ORD-202201-0043,P001,3,1200,600
ITEM-00097,ORD-202201-0044,P003,3,1700,820
ITEM-00098,ORD-202201-0045,P017,3,4000,1900
ITEM-00099,ORD-202201-0046,P016,3,3000,1500
ITEM-00100,ORD-202201-0046,P008,1,950,120
ITEM-00101,ORD-202201-0046,P005,2,2200,1040
ITEM-00102,ORD-202201-0046,P007,1,800,100
ITEM-00103,ORD-202202-0047,P012,1,150,15
ITEM-00104,ORD-202202-0048,P007,1,800,100
ITEM-00105,ORD-202202-0048,P016,2,3000,1500
ITEM-00106,ORD-202202-0048,P015,3,300,30
ITEM-00107,ORD-202202-0049,P013,2,200,20
ITEM-00108,ORD-202202-0049,P013,3,200,20
ITEM-00109,ORD-202202-0050,P013,3,200,20
ITEM-00110,ORD-202202-0051,P015,2,300,30
ITEM-00111,ORD-202202-0051,P017,1,4000,1900
ITEM-00112,ORD-202202-0051,P012,2,150,15
ITEM-00113,ORD-202202-0051,P010,1,1250,160
ITEM-00114,ORD-202202-0052,P015,1,300,30
ITEM-00115,ORD-202202-0052,P019,1,6000,2700
ITEM-00116,ORD-202202-0053,P006,3,2450,1150
ITEM-00117,ORD-202202-0054,P015,1,300,30
ITEM-00118,ORD-202202-0054,P002,1,1450,710
ITEM-00119,ORD-202202-0054,P016,3,3000,1500
ITEM-00120,ORD-202202-0055,P005,2,2200,1040
ITEM-00121,ORD-202202-0055,P011,1,1400,180
ITEM-00122,ORD-202202-0055,P007,3,800,100
ITEM-00123,ORD-202202-0055,P001,2,1200,600
ITEM-00124,ORD-202202-0056,P017,3,4000,1900
ITEM-00125,ORD-202202-0057,P007,2,800,100
ITEM-00126,ORD-202202-0058,P015,3,300,30
ITEM-00127,ORD-202202-0058,P011,2,1400,180
ITEM-00128,ORD-202202-0059,P014,1,250,25
ITEM-00129,ORD-202202-0059,P006,3,2450,1150
ITEM-00130,ORD-202202-0059,P002,3,1450,710
ITEM-00131,ORD-202202-0059,P009,2,1100,140
ITEM-00132,ORD-202202-0060,P019,2,6000,2700
ITEM-00133,ORD-202202-0060,P007,2,800,100
ITEM-00134,ORD-202202-0060,P011,1,1400,180
ITEM-00135,ORD-202202-0060,P014,2,250,25
ITEM-00136,ORD-202202-0061,P008,1,950,120
ITEM-00137,ORD-202202-0061,P018,2,5000,2300
ITEM-00138,ORD-202202-0062,P002,3,1450,710
ITEM-00139,ORD-202202-0062,P010,2,1250,160
ITEM-00140,ORD-202202-0063,P003,1,1700,820
ITEM-00141,ORD-202202-0064,P011,1,1400,180
ITEM-00142,ORD-202202-0064,P011,1,1400,180
ITEM-00143,ORD-202202-0064,P012,2,150,15
ITEM-00144,ORD-202202-0065,P014,1,250,25
ITEM-00145,ORD-202202-0066,P017,3,4000,1900
ITEM-00146,ORD-202202-0066,P007,3,800,100
ITEM-00147,ORD-202202-0066,P004,1,1950,930
ITEM-00148,ORD-202202-0066,P015,2,300,30
ITEM-00149,ORD-202202-0067,P018,3,5000,2300
ITEM-00150,ORD-202202-0067,P007,2,800,100
ITEM-00151,ORD-202202-0067,P016,1,3000,1500
ITEM-00152,ORD-202202-0067,P013,3,200,20
ITEM-00153,ORD-202202-0068,P014,3,250,25
ITEM-00154,ORD-202202-0068,P014,2,250,25
ITEM-00155,ORD-202202-0069,P008,1,950,120
ITEM-00156,ORD-202202-0070,P011,3,1400,180
ITEM-00157,ORD-202202-0070,P005,1,2200,1040
ITEM-00158,ORD-202202-0070,P008,3,950,120
ITEM-00159,ORD-202202-0070,P019,1,6000,2700
ITEM-00160,ORD-202202-0071,P004,3,1950,930
ITEM-00161,ORD-202202-0071,P002,1,1450,710
ITEM-00162,ORD-202202-0071,P004,1,1950,930
ITEM-00163,ORD-202202-0071,P002,3,1450,710
ITEM-00164,ORD-202202-0072,P017,2,4000,1900
ITEM-00165,ORD-202202-0072,P002,3,1450,710
ITEM-00166,ORD-202202-0073,P012,2,150,15
ITEM-00167,ORD-202202-0074,P006,2,2450,1150
ITEM-00168,ORD-202202-0075,P003,3,1700,820
ITEM-00169,ORD-202202-0075,P010,2,1250,160
ITEM-00170,ORD-202202-0075,P019,2,6000,2700
ITEM-00171,ORD-202202-0075,P015,2,300,30
ITEM-00172,ORD-202202-0076,P009,1,1100,140
ITEM-00173,ORD-202202-0076,P006,3,2450,1150
ITEM-00174,ORD-202202-0076,P007,3,800,100
ITEM-00175,ORD-202202-0076,P013,1,200,20
ITEM-00176,ORD-202202-0077,P012,1,150,15
ITEM-00177,ORD-202202-0077,P013,2,200,20
ITEM-00178,ORD-202202-0077,P004,3,1950,930
ITEM-00179,ORD-202202-0077,P012,2,150,15
ITEM-00180,ORD-202202-0078,P004,3,1950,930
ITEM-00181,ORD-202202-0079,P005,2,2200,1040
ITEM-00182,ORD-202202-0080,P012,3,150,15
ITEM-00183,ORD-202202-0080,P009,1,1100,140
ITEM-00184,ORD-202202-0081,P001,1,1200,600
ITEM-00185,ORD-202202-0082,P005,2,2200,1040
ITEM-00186,ORD-202202-0082,P004,2,1950,930
ITEM-00187,ORD-202202-0082,P004,3,1950,930
ITEM-00188,ORD-202202-0083,P007,1,800,100
ITEM-00189,ORD-202202-0083,P007,1,800,100
ITEM-00190,ORD-202202-0083,P003,3,1700,820
ITEM-00191,ORD-202202-0084,P012,1,150,15
ITEM-00192,ORD-202202-0084,P019,3,6000,2700
ITEM-00193,ORD-202202-0084,P015,2,300,30
ITEM-00194,ORD-202202-0084,P016,2,3000,1500
ITEM-00195,ORD-202202-0085,P019,1,6000,2700
ITEM-00196,ORD-202202-0085,P019,1,6000,2700
ITEM-00197,ORD-202202-0085,P011,1,1400,180
ITEM-00198,ORD-202202-0086,P004,2,1950,930
ITEM-00199,ORD-202202-0087,P005,1,2200,1040
ITEM-00200,ORD-202202-0087,P019,2,6000,2700
ITEM-00201,ORD-202202-0087,P004,1,1950,930
ITEM-00202,ORD-202202-0088,P016,2,3000,1500
ITEM-00203,ORD-202202-0088,P014,3,250,25
ITEM-00204,ORD-202202-0088,P009,1,1100,140
ITEM-00205,ORD-202202-0089,P013,3,200,20
ITEM-00206,ORD-202202-0089,P010,2,1250,160
ITEM-00207,ORD-202202-0089,P015,3,300,30
ITEM-00208,ORD-202202-0090,P011,3,1400,180
ITEM-00209,ORD-202202-0090,P017,1,4000,1900
ITEM-00210,ORD-202202-0090,P011,3,1400,180
ITEM-00211,ORD-202202-0091,P005,3,2200,1040
ITEM-00212,ORD-202202-0092,P015,3,300,30
ITEM-00213,ORD-202203-0093,P019,3,6000,2700
ITEM-00214,ORD-202203-0093,P005,1,2200,1040
ITEM-00215,ORD-202203-0093,P007,3,800,100
ITEM-00216,ORD-202203-0093,P001,1,1200,600
ITEM-00217,ORD-202203-0094,P001,1,1200,600
ITEM-00218,ORD-202203-0094,P003,3,1700,820
ITEM-00219,ORD-202203-0094,P015,2,300,30
ITEM-00220,ORD-202203-0094,P010,1,1250,160
ITEM-00221,ORD-202203-0095,P005,3,2200,1040
ITEM-00222,ORD-202203-0095,P015,1,300,30
ITEM-00223,ORD-202203-0096,P005,2,2200,1040
ITEM-00224,ORD-202203-0096,P018,2,5000,2300
ITEM-00225,ORD-202203-0096,P013,3,200,20
ITEM-00226,ORD-202203-0096,P001,3,1200,600
ITEM-00227,ORD-202203-0097,P005,3,2200,1040
ITEM-00228,ORD-202203-0097,P016,1,3000,1500
ITEM-00229,ORD-202203-0098,P015,2,300,30
ITEM-00230,ORD-202203-0098,P018,2,5000,2300
ITEM-00231,ORD-202203-0099,P014,1,250,25
ITEM-00232,ORD-202203-0099,P006,1,2450,1150
ITEM-00233,ORD-202203-0099,P018,2,5000,2300
ITEM-00234,ORD-202203-0099,P019,2,6000,2700
ITEM-00235,ORD-202203-0100,P009,3,1100,140
ITEM-00236,ORD-202203-0101,P006,2,2450,1150
ITEM-00237,ORD-202203-0101,P015,1,300,30
ITEM-00238,ORD-202203-0101,P019,1,6000,2700
ITEM-00239,ORD-202203-0102,P002,2,1450,710
ITEM-00240,ORD-202203-0103,P015,3,300,30
ITEM-00241,ORD-202203-0103,P015,3,300,30
ITEM-00242,ORD-202203-0103,P001,3,1200,600
ITEM-00243,ORD-202203-0104,P015,2,300,30
ITEM-00244,ORD-202203-0105,P002,2,1450,710
ITEM-00245,ORD-202203-0106,P019,1,6000,2700
ITEM-00246,ORD-202203-0106,P005,1,2200,1040
ITEM-00247,ORD-202203-0107,P019,2,6000,2700
ITEM-00248,ORD-202203-0107,P002,2,1450,710
ITEM-00249,ORD-202203-0107,P007,2,800,100
ITEM-00250,ORD-202203-0107,P017,2,4000,1900
ITEM-00251,ORD-202203-0108,P004,2,1950,930
ITEM-00252,ORD-202203-0108,P007,1,800,100
ITEM-00253,ORD-202203-0108,P008,3,950,120
ITEM-00254,ORD-202203-0109,P003,2,1700,820
ITEM-00255,ORD-202203-0110,P004,2,1950,930
ITEM-00256,ORD-202203-0111,P013,1,200,20
ITEM-00257,ORD-202203-0111,P019,3,6000,2700
ITEM-00258,ORD-202203-0111,P010,1,1250,160
ITEM-00259,ORD-202203-0111,P002,3,1450,710
ITEM-00260,ORD-202203-0112,P009,3,1100,140
ITEM-00261,ORD-202203-0112,P009,1,1100,140
ITEM-00262,ORD-202203-0112,P011,1,1400,180
ITEM-00263,ORD-202203-0113,P006,3,2450,1150
ITEM-00264,ORD-202203-0114,P007,3,800,100
ITEM-00265,ORD-202203-0115,P014,3,250,25
ITEM-00266,ORD-202203-0115,P013,3,200,20
ITEM-00267,ORD-202203-0115,P002,2,1450,710
ITEM-00268,ORD-202203-0116,P003,2,1700,820
ITEM-00269,ORD-202203-0116,P003,2,1700,820
ITEM-00270,ORD-202203-0116,P011,2,1400,180
ITEM-00271,ORD-202203-0116,P013,2,200,20
ITEM-00272,ORD-202203-0117,P011,3,1400,180
ITEM-00273,ORD-202203-0117,P018,1,5000,2300
ITEM-00274,ORD-202203-0117,P003,2,1700,820
ITEM-00275,ORD-202203-0118,P019,3,6000,2700
ITEM-00276,ORD-202203-0118,P004,1,1950,930
ITEM-00277,ORD-202203-0118,P014,1,250,25
ITEM-00278,ORD-202203-0118,P012,3,150,15
ITEM-00279,ORD-202203-0119,P003,3,1700,820
ITEM-00280,ORD-202203-0120,P006,1,2450,1150
ITEM-00281,ORD-202203-0120,P001,2,1200,600
ITEM-00282,ORD-202203-0121,P011,1,1400,180
ITEM-00283,ORD-202203-0121,P010,3,1250,160
ITEM-00284,ORD-202203-0121,P008,1,950,120
ITEM-00285,ORD-202203-0122,P003,3,1700,820
ITEM-00286,ORD-202203-0123,P007,2,800,100
ITEM-00287,ORD-202203-0123,P016,1,3000,1500
ITEM-00288,ORD-202203-0124,P011,2,1400,180
ITEM-00289,ORD-202203-0124,P012,3,150,15
ITEM-00290,ORD-202203-0125,P002,3,1450,710
ITEM-00291,ORD-202203-0126,P002,2,1450,710
ITEM-00292,ORD-202203-0126,P013,3,200,20
ITEM-00293,ORD-202203-0127,P015,2,300,30
ITEM-00294,ORD-202203-0127,P017,3,4000,1900
ITEM-00295,ORD-202203-0127,P011,1,1400,180
ITEM-00296,ORD-202203-0127,P005,3,2200,1040
ITEM-00297,ORD-202203-0128,P006,3,2450,1150
ITEM-00298,ORD-202203-0128,P011,2,1400,180
ITEM-00299,ORD-202203-0128,P002,2,1450,710
ITEM-00300,ORD-202203-0129,P015,3,300,30
ITEM-00301,ORD-202203-0129,P008,2,950,120
ITEM-00302,ORD-202203-0129,P016,3,3000,1500
ITEM-00303,ORD-202203-0129,P005,1,2200,1040
ITEM-00304,ORD-202203-0130,P016,2,3000,1500
ITEM-00305,ORD-202203-0130,P006,1,2450,1150
ITEM-00306,ORD-202203-0130,P011,3,1400,180
ITEM-00307,ORD-202203-0130,P012,1,150,15
ITEM-00308,ORD-202203-0131,P016,2,3000,1500
ITEM-00309,ORD-202203-0131,P007,2,800,100
ITEM-00310,ORD-202203-0132,P007,2,800,100
ITEM-00311,ORD-202203-0133,P003,3,1700,820
ITEM-00312,ORD-202203-0133,P004,2,1950,930
ITEM-00313,ORD-202203-0133,P001,3,1200,600
ITEM-00314,ORD-202203-0133,P006,1,2450,1150
ITEM-00315,ORD-202203-0134,P010,1,1250,160
ITEM-00316,ORD-202203-0134,P017,1,4000,1900
ITEM-00317,ORD-202203-0134,P012,2,150,15
ITEM-00318,ORD-202203-0134,P018,3,5000,2300
ITEM-00319,ORD-202203-0135,P013,3,200,20
ITEM-00320,ORD-202203-0136,P013,1,200,20
ITEM-00321,ORD-202203-0136,P010,2,1250,160
ITEM-00322,ORD-202203-0136,P016,3,3000,1500
ITEM-00323,ORD-202203-0137,P019,2,6000,2700
ITEM-00324,ORD-202203-0137,P014,2,250,25
ITEM-00325,ORD-202203-0138,P001,3,1200,600
ITEM-00326,ORD-202203-0138,P009,3,1100,140
ITEM-00327,ORD-202203-0138,P001,2,1200,600
ITEM-00328,ORD-202203-0139,P008,1,950,120
ITEM-00329,ORD-202203-0139,P002,2,1450,710
ITEM-00330,ORD-202203-0139,P016,2,3000,1500
ITEM-00331,ORD-202203-0139,P015,3,300,30
ITEM-00332,ORD-202204-0140,P004,2,1950,930
ITEM-00333,ORD-202204-0140,P019,2,6000,2700
ITEM-00334,ORD-202204-0140,P001,2,1200,600
ITEM-00335,ORD-202204-0140,P015,2,300,30
ITEM-00336,ORD-202204-0141,P005,3,2200,1040
ITEM-00337,ORD-202204-0142,P002,2,1450,710
ITEM-00338,ORD-202204-0142,P016,1,3000,1500
ITEM-00339,ORD-202204-0142,P009,2,1100,140
ITEM-00340,ORD-202204-0142,P002,3,1450,710
ITEM-00341,ORD-202204-0143,P008,3,950,120
ITEM-00342,ORD-202204-0143,P011,2,1400,180
ITEM-00343,ORD-202204-0143,P010,2,1250,160
ITEM-00344,ORD-202204-0144,P017,2,4000,1900
ITEM-00345,ORD-202204-0144,P018,2,5000,2300
ITEM-00346,ORD-202204-0144,P008,3,950,120
ITEM-00347,ORD-202204-0145,P005,3,2200,1040
ITEM-00348,ORD-202204-0146,P005,1,2200,1040
ITEM-00349,ORD-202204-0147,P007,1,800,100
ITEM-00350,ORD-202204-0147,P002,1,1450,710
ITEM-00351,ORD-202204-0148,P017,1,4000,1900
ITEM-00352,ORD-202204-0148,P013,2,200,20
ITEM-00353,ORD-202204-0148,P019,3,6000,2700
ITEM-00354,ORD-202204-0149,P019,2,6000,2700
ITEM-00355,ORD-202204-0149,P010,1,1250,160
ITEM-00356,ORD-202204-0150,P005,2,2200,1040
ITEM-00357,ORD-202204-0150,P019,1,6000,2700
ITEM-00358,ORD-202204-0150,P005,2,2200,1040
ITEM-00359,ORD-202204-0151,P017,3,4000,1900
ITEM-00360,ORD-202204-0151,P002,3,1450,710
ITEM-00361,ORD-202204-0151,P018,2,5000,2300
ITEM-00362,ORD-202204-0151,P013,2,200,20
ITEM-00363,ORD-202204-0152,P013,3,200,20
ITEM-00364,ORD-202204-0152,P006,2,2450,1150
ITEM-00365,ORD-202204-0153,P010,1,1250,160
ITEM-00366,ORD-202204-0153,P010,2,1250,160
ITEM-00367,ORD-202204-0154,P008,3,950,120
ITEM-00368,ORD-202204-0154,P012,3,150,15
ITEM-00369,ORD-202204-0155,P014,3,250,25
ITEM-00370,ORD-202204-0155,P016,1,3000,1500
ITEM-00371,ORD-202204-0155,P015,1,300,30
ITEM-00372,ORD-202204-0155,P006,2,2450,1150
ITEM-00373,ORD-202204-0156,P012,1,150,15
ITEM-00374,ORD-202204-0157,P009,3,1100,140
ITEM-00375,ORD-202204-0157,P010,1,1250,160
ITEM-00376,ORD-202204-0158,P014,3,250,25
ITEM-00377,ORD-202204-0158,P013,1,200,20
ITEM-00378,ORD-202204-0159,P007,3,800,100
ITEM-00379,ORD-202204-0159,P013,3,200,20
ITEM-00380,ORD-202204-0159,P004,3,1950,930
ITEM-00381,ORD-202204-0160,P013,3,200,20
ITEM-00382,ORD-202204-0160,P003,3,1700,820
ITEM-00383,ORD-202204-0161,P017,3,4000,1900
ITEM-00384,ORD-202204-0161,P015,2,300,30
ITEM-00385,ORD-202204-0162,P016,1,3000,1500
ITEM-00386,ORD-202204-0162,P004,1,1950,930
ITEM-00387,ORD-202204-0162,P001,1,1200,600
ITEM-00388,ORD-202204-0162,P009,3,1100,140
ITEM-00389,ORD-202204-0163,P002,2,1450,710
ITEM-00390,ORD-202204-0163,P017,3,4000,1900
ITEM-00391,ORD-202204-0163,P016,2,3000,1500
ITEM-00392,ORD-202204-0163,P004,1,1950,930
ITEM-00393,ORD-202204-0164,P005,1,2200,1040
ITEM-00394,ORD-202204-0164,P003,2,1700,820
ITEM-00395,ORD-202204-0165,P011,3,1400,180
ITEM-00396,ORD-202204-0165,P009,2,1100,140
ITEM-00397,ORD-202204-0165,P016,1,3000,1500
ITEM-00398,ORD-202204-0165,P018,3,5000,2300
ITEM-00399,ORD-202204-0166,P003,2,1700,820
ITEM-00400,ORD-202204-0166,P010,1,1250,160
ITEM-00401,ORD-202204-0167,P002,1,1450,710
ITEM-00402,ORD-202204-0167,P010,3,1250,160
ITEM-00403,ORD-202204-0167,P014,1,250,25
ITEM-00404,ORD-202204-0168,P017,2,4000,1900
ITEM-00405,ORD-202204-0168,P003,1,1700,820
ITEM-00406,ORD-202204-0169,P006,2,2450,1150
ITEM-00407,ORD-202204-0170,P004,2,1950,930
ITEM-00408,ORD-202204-0170,P019,2,6000,2700
ITEM-00409,ORD-202204-0170,P006,1,2450,1150
ITEM-00410,ORD-202205-0171,P014,1,250,25
ITEM-00411,ORD-202205-0171,P009,3,1100,140
ITEM-00412,ORD-202205-0172,P007,1,800,100
ITEM-00413,ORD-202205-0172,P011,1,1400,180
ITEM-00414,ORD-202205-0172,P018,1,5000,2300
ITEM-00415,ORD-202205-0173,P001,2,1200,600
ITEM-00416,ORD-202205-0173,P017,3,4000,1900
ITEM-00417,ORD-202205-0173,P008,3,950,120
ITEM-00418,ORD-202205-0174,P016,2,3000,1500
ITEM-00419,ORD-202205-0174,P001,3,1200,600
ITEM-00420,ORD-202205-0175,P012,1,150,15
ITEM-00421,ORD-202205-0176,P008,3,950,120
ITEM-00422,ORD-202205-0176,P008,1,950,120
ITEM-00423,ORD-202205-0177,P005,3,2200,1040
ITEM-00424,ORD-202205-0177,P016,1,3000,1500
ITEM-00425,ORD-202205-0177,P011,3,1400,180
ITEM-00426,ORD-202205-0178,P001,1,1200,600
ITEM-00427,ORD-202205-0178,P012,3,150,15
ITEM-00428,ORD-202205-0179,P008,3,950,120
ITEM-00429,ORD-202205-0179,P017,2,4000,1900
ITEM-00430,ORD-202205-0179,P019,1,6000,2700
ITEM-00431,ORD-202205-0180,P001,1,1200,600
ITEM-00432,ORD-202205-0181,P017,3,4000,1900
ITEM-00433,ORD-202205-0181,P010,3,1250,160
ITEM-00434,ORD-202205-0182,P008,2,950,120
ITEM-00435,ORD-202205-0182,P005,3,2200,1040
ITEM-00436,ORD-202205-0182,P005,3,2200,1040
ITEM-00437,ORD-202205-0183,P003,3,1700,820
ITEM-00438,ORD-202205-0183,P003,3,1700,820
ITEM-00439,ORD-202205-0183,P016,3,3000,1500
ITEM-00440,ORD-202205-0183,P008,1,950,120
ITEM-00441,ORD-202205-0184,P009,1,1100,140
ITEM-00442,ORD-202205-0184,P013,3,200,20
ITEM-00443,ORD-202205-0184,P018,1,5000,2300
ITEM-00444,ORD-202205-0184,P001,2,1200,600
ITEM-00445,ORD-202205-0185,P015,1,300,30
ITEM-00446,ORD-202205-0186,P001,2,1200,600
ITEM-00447,ORD-202205-0186,P016,1,3000,1500
ITEM-00448,ORD-202205-0186,P011,3,1400,180
ITEM-00449,ORD-202205-0187,P002,2,1450,710
ITEM-00450,ORD-202205-0187,P004,3,1950,930
ITEM-00451,ORD-202205-0187,P008,1,950,120
ITEM-00452,ORD-202205-0188,P015,2,300,30
ITEM-00453,ORD-202205-0188,P017,1,4000,1900
ITEM-00454,ORD-202205-0189,P003,3,1700,820
ITEM-00455,ORD-202205-0189,P018,1,5000,2300
ITEM-00456,ORD-202205-0190,P006,3,2450,1150
ITEM-00457,ORD-202205-0190,P003,3,1700,820
ITEM-00458,ORD-202205-0191,P001,1,1200,600
ITEM-00459,ORD-202205-0192,P015,2,300,30
ITEM-00460,ORD-202205-0192,P019,1,6000,2700
ITEM-00461,ORD-202205-0193,P003,2,1700,820
ITEM-00462,ORD-202205-0194,P010,2,1250,160
ITEM-00463,ORD-202205-0194,P007,1,800,100
ITEM-00464,ORD-202205-0195,P011,1,1400,180
ITEM-00465,ORD-202205-0195,P006,1,2450,1150
ITEM-00466,ORD-202205-0195,P013,1,200,20
ITEM-00467,ORD-202205-0196,P012,2,150,15
ITEM-00468,ORD-202205-0197,P007,2,800,100
ITEM-00469,ORD-202205-0198,P004,3,1950,930
ITEM-00470,ORD-202205-0198,P002,3,1450,710
ITEM-00471,ORD-202205-0198,P008,3,950,120
ITEM-00472,ORD-202205-0198,P005,2,2200,1040
ITEM-00473,ORD-202205-0199,P007,1,800,100
ITEM-00474,ORD-202205-0199,P006,3,2450,1150
ITEM-00475,ORD-202205-0199,P009,1,1100,140
ITEM-00476,ORD-202205-0200,P009,3,1100,140
ITEM-00477,ORD-202205-0201,P001,1,1200,600
ITEM-00478,ORD-202205-0201,P007,3,800,100
ITEM-00479,ORD-202205-0201,P011,1,1400,180
ITEM-00480,ORD-202206-0202,P003,2,1700,820
ITEM-00481,ORD-202206-0202,P015,1,300,30
ITEM-00482,ORD-202206-0203,P001,3,1200,600
ITEM-00483,ORD-202206-0203,P010,3,1250,160
ITEM-00484,ORD-202206-0203,P010,1,1250,160
ITEM-00485,ORD-202206-0204,P018,1,5000,2300
ITEM-00486,ORD-202206-0205,P003,3,1700,820
ITEM-00487,ORD-202206-0205,P007,2,800,100
ITEM-00488,ORD-202206-0205,P002,3,1450,710
ITEM-00489,ORD-202206-0206,P003,1,1700,820
ITEM-00490,ORD-202206-0206,P012,1,150,15
ITEM-00491,ORD-202206-0206,P006,3,2450,1150
ITEM-00492,ORD-202206-0206,P016,2,3000,1500
ITEM-00493,ORD-202206-0207,P014,3,250,25
ITEM-00494,ORD-202206-0207,P005,1,2200,1040
ITEM-00495,ORD-202206-0208,P006,1,2450,1150
ITEM-00496,ORD-202206-0208,P008,1,950,120
ITEM-00497,ORD-202206-0208,P013,1,200,20
ITEM-00498,ORD-202206-0209,P015,3,300,30
