id,customer_id,status,region,created_at,total_amount,shipping_cost,discount_amount
ORD-202202-0078,C0075,Completed,LATAM,2022-02-18,5173.63,21,697.37
ORD-202202-0079,C0464,Completed,North America,2022-02-20,3935.53,81,545.47
ORD-202202-0080,C0436,Completed,North America,2022-02-09,1614.88,76,11.12
ORD-202202-0081,C0195,Completed,LATAM,2022-02-12,1251.45,89,37.55
ORD-202202-0082,C0170,Completed,Asia,2022-02-14,13517.62,98,730.38
ORD-202202-0083,C0401,Completed,Europe,2022-02-03,6079.28,105,725.72
ORD-202202-0084,C0384,Completed,North America,2022-02-20,23748.8,82,1083.2
ORD-202202-0085,C0484,Completed,North America,2022-02-08,12579.94,61,881.06
ORD-202202-0086,C0313,Completed,Europe,2022-02-14,4012,112,0
ORD-202202-0087,C0108,Completed,North America,2022-02-05,15716.28,20,453.72
ORD-202202-0088,C0392,Completed,North America,2022-02-04,7910,60,0
ORD-202202-0089,C0328,Completed,North America,2022-02-01,3536.08,80,543.92
ORD-202202-0090,C0161,Completed,Europe,2022-02-21,12151.88,32,280.12
ORD-202202-0091,C0086,Pending,Asia,2022-02-13,6274.18,40,365.82
ORD-202202-0092,C0072,Completed,North America,2022-02-05,844.86,54,109.14
ORD-202203-0093,C0157,Completed,Europe,2022-03-28,23900,100,0
ORD-202203-0094,C0219,Completed,LATAM,2022-03-25,8046.11,45,148.89
ORD-202203-0095,C0375,Pending,LATAM,2022-03-20,6186.02,21,734.98
ORD-202203-0096,C0037,Pending,Europe,2022-03-28,16680.79,49,1968.21
ORD-202203-0097,C0368,Completed,North America,2022-03-27,9710,110,0
ORD-202203-0098,C0408,Completed,North America,2022-03-25,10652,52,0
ORD-202203-0099,C0001,Completed,Europe,2022-03-09,24805,105,0
ORD-202203-0100,C0477,Completed,Europe,2022-03-08,3197.35,24,126.65
ORD-202203-0101,C0086,Pending,Asia,2022-03-13,10197.12,80,1082.88
ORD-202203-0102,C0454,Cancelled,Asia,2022-03-13,2616.57,38,321.43
ORD-202203-0103,C0190,Completed,Asia,2022-03-27,5419,19,0
ORD-202203-0104,C0066,Completed,Asia,2022-03-24,615,15,0
ORD-202203-0105,C0263,Completed,LATAM,2022-03-10,2832.03,30,97.97
ORD-202203-0106,C0111,Completed,LATAM,2022-03-26,7813.77,33,419.23
ORD-202203-0107,C0470,Completed,Asia,2022-03-25,24527,27,0
ORD-202203-0108,C0055,Completed,LATAM,2022-03-15,7575,25,0
ORD-202203-0109,C0052,Completed,North America,2022-03-17,3208.68,108,299.32
ORD-202203-0110,C0285,Completed,Europe,2022-03-23,3655.45,51,295.55
ORD-202203-0111,C0420,Completed,North America,2022-03-24,23848,48,0
ORD-202203-0112,C0244,Completed,North America,2022-03-01,5426.08,21,394.92
ORD-202203-0113,C0303,Cancelled,LATAM,2022-03-16,7458,108,0
ORD-202203-0114,C0499,Completed,LATAM,2022-03-17,2254.94,89,234.06
ORD-202203-0115,C0059,Completed,LATAM,2022-03-01,4307,57,0
ORD-202203-0116,C0215,Cancelled,LATAM,2022-03-09,8709.31,71,1361.69
ORD-202203-0117,C0048,Completed,North America,2022-03-11,12692,92,0
ORD-202203-0118,C0471,Completed,LATAM,2022-03-14,20548.18,93,194.82
ORD-202203-0119,C0046,Completed,Asia,2022-03-27,4600.35,68,567.65
ORD-202203-0120,C0115,Completed,LATAM,2022-03-14,4867,17,0
ORD-202203-0121,C0094,Completed,Asia,2022-03-25,6168,68,0
ORD-202203-0122,C0124,Completed,North America,2022-03-09,5146,46,0
ORD-202203-0123,C0291,Completed,LATAM,2022-03-08,4698,98,0
ORD-202203-0124,C0082,Completed,Asia,2022-03-18,2818.61,41,472.39
ORD-202203-0125,C0047,Completed,LATAM,2022-03-26,4254.07,39,134.93
ORD-202203-0126,C0067,Completed,LATAM,2022-03-07,3543,43,0
ORD-202203-0127,C0217,Completed,Europe,2022-03-24,17978.44,43,2664.56
ORD-202203-0128,C0171,Completed,LATAM,2022-03-28,11688.55,102,1463.45
ORD-202203-0129,C0459,Completed,LATAM,2022-03-21,14027,27,0
ORD-202203-0130,C0383,Completed,LATAM,2022-03-06,11738.77,107,1168.23
ORD-202203-0131,C0380,Completed,North America,2022-03-04,7425.36,64,238.64
ORD-202203-0132,C0262,Completed,Asia,2022-03-03,1620,20,0
ORD-202203-0133,C0368,Completed,North America,2022-03-07,14765.29,27,311.71
ORD-202203-0134,C0355,Pending,LATAM,2022-03-04,18985.09,98,1662.91
ORD-202203-0135,C0162,Completed,Asia,2022-03-27,677,77,0
ORD-202203-0136,C0199,Completed,LATAM,2022-03-26,10904.25,108,903.75
ORD-202203-0137,C0091,Completed,LATAM,2022-03-04,12367.82,104,236.18
ORD-202203-0138,C0215,Completed,LATAM,2022-03-23,9355,55,0
ORD-202203-0139,C0104,Completed,North America,2022-03-10,10861,111,0
ORD-202204-0140,C0259,Completed,LATAM,2022-04-16,18975,75,0
ORD-202204-0141,C0014,Completed,Asia,2022-04-27,6689,89,0
ORD-202204-0142,C0440,Completed,North America,2022-04-11,11009.4,87,1527.6
ORD-202204-0143,C0052,Completed,North America,2022-04-15,8240,90,0
ORD-202204-0144,C0427,Completed,LATAM,2022-04-19,19853.09,42,1038.91
ORD-202204-0145,C0032,Completed,North America,2022-04-09,6061.67,26,564.33
ORD-202204-0146,C0439,Completed,LATAM,2022-04-12,2268,68,0
ORD-202204-0147,C0332,Completed,North America,2022-04-18,2029.51,46,266.49
ORD-202204-0148,C0055,Completed,LATAM,2022-04-26,22461,61,0
ORD-202204-0149,C0405,Completed,Europe,2022-04-27,12611.61,57,695.39
ORD-202204-0150,C0144,Completed,North America,2022-04-09,14857,57,0
ORD-202204-0151,C0286,Completed,Asia,2022-04-03,26792,42,0
ORD-202204-0152,C0063,Completed,LATAM,2022-04-18,5605,105,0
ORD-202204-0153,C0162,Completed,Asia,2022-04-01,3784,34,0
ORD-202204-0154,C0121,Completed,Europe,2022-04-20,2853.33,20,466.67
ORD-202204-0155,C0476,Completed,North America,2022-04-15,8141.52,20,828.48
ORD-202204-0156,C0369,Pending,Europe,2022-04-25,223,73,0
ORD-202204-0157,C0362,Completed,Asia,2022-04-10,4463.39,110,196.61
ORD-202204-0158,C0489,Completed,Europe,2022-04-16,1039,89,0
ORD-202204-0159,C0052,Completed,North America,2022-04-03,8837.37,54,66.63
ORD-202204-0160,C0040,Completed,North America,2022-04-01,5800,100,0
ORD-202204-0161,C0284,Completed,North America,2022-04-13,12682,82,0
ORD-202204-0162,C0234,Completed,Asia,2022-04-13,9543,93,0
ORD-202204-0163,C0305,Completed,Europe,2022-04-17,22875.64,94,68.36
ORD-202204-0164,C0190,Completed,Asia,2022-04-24,5456.42,17,160.58
ORD-202204-0165,C0033,Completed,Europe,2022-04-07,24468,68,0
ORD-202204-0166,C0081,Completed,Europe,2022-04-12,4248.7,65,466.3
ORD-202204-0167,C0431,Completed,LATAM,2022-04-10,5497,47,0
ORD-202204-0168,C0242,Completed,Asia,2022-04-18,9356.61,108,451.39
ORD-202204-0169,C0459,Completed,LATAM,2022-04-25,4901.81,109,107.19
ORD-202204-0170,C0332,Completed,North America,2022-04-16,16189.06,106,2266.94
ORD-202205-0171,C0391,Completed,LATAM,2022-05-13,3401.04,94,242.96
ORD-202205-0172,C0287,Pending,LATAM,2022-05-16,7302,102,0
ORD-202205-0173,C0204,Pending,North America,2022-05-17,16507.49,89,831.51
ORD-202205-0174,C0200,Completed,North America,2022-05-10,8320.11,33,1312.89
ORD-202205-0175,C0115,Completed,LATAM,2022-05-06,217.13,83,15.87
ORD-202205-0176,C0070,Pending,Asia,2022-05-22,3586.62,79,292.38
ORD-202205-0177,C0360,Completed,North America,2022-05-14,13913,113,0
ORD-202205-0178,C0167,Completed,LATAM,2022-05-03,1759,109,0
ORD-202205-0179,C0343,Completed,LATAM,2022-05-27,15250.4,95,1694.6
ORD-202205-0180,C0046,Completed,Asia,2022-05-05,1148.2,101,152.8
ORD-202205-0181,C0231,Completed,LATAM,2022-05-26,15224.07,55,580.93
ORD-202205-0182,C0167,Pending,LATAM,2022-05-28,15129,29,0
ORD-202205-0183,C0229,Pending,Europe,2022-05-16,20201,51,0
ORD-202205-0184,C0062,Completed,Asia,2022-05-09,7967.43,28,1160.57
ORD-202205-0185,C0344,Completed,North America,2022-05-05,299.87,19,19.13
ORD-202205-0186,C0301,Completed,Europe,2022-05-12,9573.84,98,124.16
ORD-202205-0187,C0333,Completed,Europe,2022-05-25,9015.35,49,733.65
ORD-202205-0188,C0084,Completed,North America,2022-05-18,4572.13,53,80.87
ORD-202205-0189,C0106,Pending,Asia,2022-05-28,9077.06,95,1117.94
ORD-202205-0190,C0369,Completed,Europe,2022-05-12,12511,61,0
ORD-202205-0191,C0150,Completed,Asia,2022-05-23,1250,50,0
ORD-202205-0192,C0468,Completed,North America,2022-05-25,6155.92,49,493.08
ORD-202205-0193,C0449,Completed,Europe,2022-05-26,3430,30,0
ORD-202205-0194,C0195,Completed,LATAM,2022-05-20,2920.79,60,439.21
ORD-202205-0195,C0082,Completed,Asia,2022-05-17,3841.32,41,249.68
ORD-202205-0196,C0162,Completed,Asia,2022-05-04,413,113,0
ORD-202205-0197,C0016,Completed,North America,2022-05-12,1448.8,78,229.2
ORD-202205-0198,C0236,Completed,North America,2022-05-09,15983.68,63,1529.32
ORD-202205-0199,C0291,Completed,LATAM,2022-05-08,9327,77,0
ORD-202205-0200,C0171,Completed,LATAM,2022-05-12,3389,89,0
ORD-202205-0201,C0283,Pending,LATAM,2022-05-28,5111,111,0
ORD-202206-0202,C0107,Completed,LATAM,2022-06-18,3736.35,39,2.65
ORD-202206-0203,C0122,Completed,Asia,2022-06-19,8450.15,26,175.85
ORD-202206-0204,C0040,Completed,North America,2022-06-26,4762.03,85,322.97
ORD-202206-0205,C0418,Pending,Asia,2022-06-14,10158.74,102,993.26
ORD-202206-0206,C0426,Completed,Asia,2022-06-03,15261,61,0
ORD-202206-0207,C0004,Completed,North America,2022-06-20,2730.84,39,258.16
ORD-202206-0208,C0481,Completed,Europe,2022-06-11,3240.99,93,452.01
ORD-202206-0209,C0447,Cancelled,LATAM,2022-06-26,11894,111,1017
ORD-202206-0210,C0008,Completed,North America,2022-06-14,6084.94,36,51.06
ORD-202206-0211,C0430,Completed,Asia,2022-06-03,5958,108,0
ORD-202206-0212,C0062,Completed,Asia,2022-06-09,794.03,55,10.97
ORD-202206-0213,C0008,Completed,North America,2022-06-02,7985,85,0
ORD-202206-0214,C0246,Completed,Asia,2022-06-26,11169.13,42,722.87
ORD-202206-0215,C0458,Completed,Asia,2022-06-10,2692,92,0
ORD-202206-0216,C0126,Completed,Asia,2022-06-06,823,73,0
ORD-202206-0217,C0207,Completed,LATAM,2022-06-02,2640,40,0
ORD-202206-0218,C0015,Completed,LATAM,2022-06-07,604.17,66,61.83
ORD-202206-0219,C0445,Completed,Europe,2022-06-17,4197.12,38,540.88
ORD-202206-0220,C0427,Completed,LATAM,2022-06-11,2598.65,40,241.35
ORD-202206-0221,C0416,Completed,North America,2022-06-28,24832.05,21,1588.95
ORD-202206-0222,C0198,Completed,Asia,2022-06-25,2666.84,102,235.16
ORD-202206-0223,C0337,Pending,Europe,2022-06-02,8832.95,68,1535.05
ORD-202206-0224,C0086,Completed,Asia,2022-06-27,9844.89,100,1355.11
ORD-202206-0225,C0148,Completed,North America,2022-06-25,14411.89,106,244.11
ORD-202206-0226,C0369,Completed,Europe,2022-06-01,7079,29,0
ORD-202206-0227,C0289,Completed,Europe,2022-06-09,1781,81,0
ORD-202206-0228,C0419,Completed,LATAM,2022-06-09,1273,60,37
ORD-202206-0229,C0111,Completed,LATAM,2022-06-15,10061.2,113,501.8
ORD-202206-0230,C0237,Completed,Europe,2022-06-07,375.46,107,31.54
ORD-202206-0231,C0286,Pending,Asia,2022-06-07,11437.38,16,678.62
ORD-202207-0232,C0056,Pending,North America,2022-07-19,10985.6,62,1076.4
ORD-202207-0233,C0424,Completed,North America,2022-07-24,12422,22,0
ORD-202207-0234,C0302,Completed,Asia,2022-07-27,12775.63,59,1733.37
ORD-202207-0235,C0457,Cancelled,Europe,2022-07-14,9023,73,0
ORD-202207-0236,C0450,Completed,Asia,2022-07-03,12781.59,76,1944.41
ORD-202207-0237,C0113,Completed,Europe,2022-07-05,5900,100,0
ORD-202207-0238,C0459,Completed,LATAM,2022-07-26,14213.87,102,738.13
ORD-202207-0239,C0311,Completed,LATAM,2022-07-27,14531.12,29,1697.88
ORD-202207-0240,C0329,Completed,Europe,2022-07-15,1269,19,0
ORD-202207-0241,C0343,Completed,LATAM,2022-07-04,1236,86,0
ORD-202207-0242,C0030,Completed,Asia,2022-07-19,8404,104,0
ORD-202207-0243,C0429,Completed,Europe,2022-07-19,3068,18,0
ORD-202207-0244,C0152,Completed,North America,2022-07-25,3297.13,21,173.87
ORD-202207-0245,C0188,Completed,North America,2022-07-02,8048,48,0
ORD-202207-0246,C0199,Completed,LATAM,2022-07-25,23812.89,45,2082.11
ORD-202207-0247,C0338,Completed,Asia,2022-07-11,8923,23,0
ORD-202207-0248,C0356,Completed,North America,2022-07-26,22109,109,0
ORD-202207-0249,C0145,Completed,Europe,2022-07-20,9136,36,0
ORD-202207-0250,C0252,Completed,North America,2022-07-19,10958,58,0
ORD-202207-0251,C0390,Pending,Asia,2022-07-28,17750.75,52,101.25
ORD-202207-0252,C0434,Completed,Asia,2022-07-08,7188.09,84,295.91
ORD-202207-0253,C0078,Completed,Asia,2022-07-22,10510,110,0
ORD-202207-0254,C0190,Completed,Asia,2022-07-18,37446.94,98,2051.06
ORD-202207-0255,C0017,Completed,Europe,2022-07-23,2287.02,48,160.98
ORD-202207-0256,C0184,Completed,North America,2022-07-04,6607,107,0
ORD-202207-0257,C0406,Pending,Asia,2022-07-26,14052,102,0
ORD-202207-0258,C0013,Completed,Europe,2022-07-10,23183.46,31,947.54
ORD-202207-0259,C0129,Completed,Europe,2022-07-07,8390.18,89,348.82
ORD-202207-0260,C0121,Completed,Europe,2022-07-22,6468,68,0
ORD-202207-0261,C0112,Completed,North America,2022-07-17,9421.99,29,857.01
ORD-202207-0262,C0181,Completed,Europe,2022-07-16,889.57,98,108.43
ORD-202207-0263,C0041,Completed,Europe,2022-07-15,16159.33,19,959.67
ORD-202207-0264,C0229,Completed,Europe,2022-07-04,13319.75,54,384.25
ORD-202207-0265,C0433,Completed,Europe,2022-07-25,2455,55,0
ORD-202207-0266,C0399,Completed,LATAM,2022-07-23,9306.56,108,401.44
ORD-202207-0267,C0357,Completed,Europe,2022-07-23,5850.82,107,856.18
ORD-202208-0268,C0206,Completed,Asia,2022-08-09,1198.33,35,136.67
ORD-202208-0269,C0169,Completed,Europe,2022-08-05,8936.21,69,1132.79
ORD-202208-0270,C0288,Pending,North America,2022-08-14,10145.17,49,253.83
ORD-202208-0271,C0374,Completed,Asia,2022-08-08,10132.73,19,86.27
ORD-202208-0272,C0395,Pending,LATAM,2022-08-07,6605,105,0
ORD-202208-0273,C0069,Completed,Europe,2022-08-09,14791,41,0
ORD-202208-0274,C0495,Pending,LATAM,2022-08-25,10411.47,95,1083.53
ORD-202208-0275,C0026,Pending,Asia,2022-08-06,9352.52,56,1153.48
ORD-202208-0276,C0469,Cancelled,Europe,2022-08-02,14591,91,0
ORD-202208-0277,C0144,Completed,North America,2022-08-18,13687.12,31,1343.88
ORD-202208-0278,C0066,Completed,Asia,2022-08-17,4097.17,109,461.83
ORD-202208-0279,C0063,Completed,LATAM,2022-08-20,3958,58,0
ORD-202208-0280,C0211,Completed,LATAM,2022-08-16,1023.28,74,0.72
ORD-202208-0281,C0265,Completed,Europe,2022-08-09,5983.02,98,264.98
ORD-202208-0282,C0471,Completed,LATAM,2022-08-26,1032.07,98,115.93
ORD-202208-0283,C0307,Completed,LATAM,2022-08-25,10360,110,0
ORD-202208-0284,C0478,Cancelled,Asia,2022-08-28,8483,33,0
ORD-202208-0285,C0069,Completed,Europe,2022-08-02,16110.43,63,2452.57
ORD-202208-0286,C0026,Completed,Asia,2022-08-24,27966.34,15,1048.66
ORD-202208-0287,C0168,Completed,North America,2022-08-19,2379,79,0
ORD-202208-0288,C0415,Completed,LATAM,2022-08-22,6408,108,0
ORD-202208-0289,C0103,Completed,LATAM,2022-08-10,294.3,64,19.7
ORD-202208-0290,C0254,Completed,Asia,2022-08-27,13967,17,0
ORD-202208-0291,C0251,Completed,LATAM,2022-08-02,5303,103,0
ORD-202208-0292,C0168,Completed,North America,2022-08-27,13711,61,0
ORD-202208-0293,C0095,Completed,LATAM,2022-08-10,2865.93,97,131.07
ORD-202208-0294,C0280,Completed,North America,2022-08-03,1366.89,111,194.11
ORD-202208-0295,C0150,Completed,Asia,2022-08-20,8992.14,94,701.86
ORD-202208-0296,C0208,Completed,North America,2022-08-27,14793.55,112,768.45
ORD-202208-0297,C0469,Completed,Europe,2022-08-17,1447.87,33,35.13
ORD-202208-0298,C0111,Completed,LATAM,2022-08-10,24055.59,91,1735.41
ORD-202208-0299,C0041,Completed,Europe,2022-08-24,10765.85,114,1148.15
ORD-202208-0300,C0287,Completed,LATAM,2022-08-13,1347.39,32,134.61
ORD-202208-0301,C0249,Completed,Europe,2022-08-16,11443.37,48,1004.63
ORD-202208-0302,C0461,Completed,Europe,2022-08-27,9020.15,98,277.85
ORD-202208-0303,C0054,Completed,Asia,2022-08-13,5152.02,51,98.98
ORD-202209-0304,C0419,Completed,LATAM,2022-09-16,14938.89,24,2185.11
ORD-202209-0305,C0287,Cancelled,LATAM,2022-09-20,6437.54,62,924.46
ORD-202209-0306,C0119,Completed,LATAM,2022-09-22,8889.72,66,626.28
ORD-202209-0307,C0220,Completed,North America,2022-09-03,8096.77,37,840.23
ORD-202209-0308,C0124,Completed,North America,2022-09-05,13160.79,18,2107.21
ORD-202209-0309,C0031,Completed,LATAM,2022-09-24,6746.27,45,198.73
ORD-202209-0310,C0407,Completed,LATAM,2022-09-02,3368,68,0
ORD-202209-0311,C0255,Completed,LATAM,2022-09-09,4996.06,44,747.94
ORD-202209-0312,C0369,Completed,Europe,2022-09-16,434.02,34,49.98
ORD-202209-0313,C0183,Pending,LATAM,2022-09-24,575.59,19,43.41
ORD-202209-0314,C0364,Completed,North America,2022-09-27,3822.1,94,521.9
ORD-202209-0315,C0469,Completed,Europe,2022-09-23,5868,18,0
ORD-202209-0316,C0342,Completed,Asia,2022-09-11,10564.65,95,1530.35
ORD-202209-0317,C0424,Completed,North America,2022-09-08,27111,111,0
ORD-202209-0318,C0489,Completed,Europe,2022-09-02,20553.89,29,1025.11
ORD-202209-0319,C0411,Completed,LATAM,2022-09-18,26300.62,70,2069.38
ORD-202209-0320,C0443,Completed,LATAM,2022-09-01,8364.27,68,453.73
ORD-202209-0321,C0015,Completed,LATAM,2022-09-01,6708.47,33,374.53
ORD-202209-0322,C0387,Completed,LATAM,2022-09-27,4648,98,0
ORD-202209-0323,C0150,Completed,Asia,2022-09-17,5705,105,0
ORD-202209-0324,C0005,Completed,Europe,2022-09-21,9827.69,39,11.31
ORD-202209-0325,C0434,Completed,Asia,2022-09-01,18058.17,105,3146.83
ORD-202209-0326,C0054,Completed,Asia,2022-09-05,18443,93,0
ORD-202209-0327,C0285,Completed,Europe,2022-09-24,4919,19,0
ORD-202209-0328,C0414,Completed,Asia,2022-09-09,15895,95,0
ORD-202209-0329,C0265,Completed,Europe,2022-09-17,183,33,0
ORD-202209-0330,C0130,Completed,Asia,2022-09-16,6535,35,0
ORD-202209-0331,C0176,Completed,North America,2022-09-26,3928,28,0
ORD-202209-0332,C0222,Completed,Asia,2022-09-07,507,57,0
ORD-202209-0333,C0366,Completed,Asia,2022-09-24,8804,104,0
ORD-202209-0334,C0370,Completed,Asia,2022-09-18,10010,110,0
ORD-202209-0335,C0238,Completed,Asia,2022-09-12,19618,68,0
ORD-202209-0336,C0366,Completed,Asia,2022-09-02,10096.2,47,850.8
ORD-202209-0337,C0497,Completed,Europe,2022-09-28,12473,23,0
ORD-202209-0338,C0150,Completed,Asia,2022-09-15,8174,74,0
ORD-202209-0339,C0345,Completed,Europe,2022-09-20,7215.54,18,602.46
ORD-202209-0340,C0167,Completed,LATAM,2022-09-17,8146.45,65,568.55
ORD-202209-0341,C0295,Completed,LATAM,2022-09-21,7786,86,0
ORD-202209-0342,C0036,Cancelled,North America,2022-09-13,5977.9,103,125.1
ORD-202209-0343,C0070,Completed,Asia,2022-09-15,14027.99,18,1990.01
ORD-202209-0344,C0386,Completed,Asia,2022-09-15,15046,46,0
ORD-202209-0345,C0392,Completed,North America,2022-09-24,8547.56,23,775.44
ORD-202209-0346,C0279,Completed,LATAM,2022-09-09,12135.11,65,1929.89
ORD-202209-0347,C0193,Completed,Europe,2022-09-07,14982.98,105,872.02
ORD-202210-0348,C0093,Completed,Europe,2022-10-12,3283,33,0
ORD-202210-0349,C0052,Completed,North America,2022-10-22,3170.75,110,389.25
ORD-202210-0350,C0094,Cancelled,Asia,2022-10-04,8313.72,34,20.28
ORD-202210-0351,C0472,Completed,North America,2022-10-13,15057,57,0
ORD-202210-0352,C0073,Cancelled,Europe,2022-10-13,2975,75,0
ORD-202210-0353,C0110,Completed,Asia,2022-10-14,10135,85,0
ORD-202210-0354,C0253,Completed,Europe,2022-10-03,3668.1,95,576.9
ORD-202210-0355,C0140,Completed,North America,2022-10-16,29933.76,50,416.24
ORD-202210-0356,C0495,Completed,LATAM,2022-10-26,6087,87,0
ORD-202210-0357,C0250,Completed,Asia,2022-10-03,24029,29,0
ORD-202210-0358,C0440,Completed,North America,2022-10-13,5202,102,0
ORD-202210-0359,C0126,Pending,Asia,2022-10-15,6537,37,0
ORD-202210-0360,C0113,Pending,Europe,2022-10-05,26908.01,36,127.99
ORD-202210-0361,C0351,Completed,LATAM,2022-10-14,600,100,0
